product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Toast Worthy Tuscan Reds & Whites  ,,,A Toast to Tuscany—Save Over $80,,,,12 bottles - $286.88,$286.88,$199.88,Save $87.00
Château Le Coin Bordeaux 2023 ,France,Merlot-based blend,Classic Dark-Fruited Bordeaux,,6 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
HJ Fabre Assemblage Cabernet Franc Cabernet Sauvignon Malbec 2023 ,Argentina,Cabernet Franc-based blend,Unique Argentine Red Blend,,3 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Il Sorriso 2024 ,Italy,Lucido,Authentic Sicilian White,,7 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Touché William Knuttel Cabernet Sauvignon Reserve 2021 ,United States,Cabernet Sauvignon,"Luxe, Gold-Medal Napa Cabernet Reserve",,4 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Paterson Point Chardonnay 2020 ,United States,Chardonnay,95-Point Sonoma Chardonnay,,7 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Villa Blue Albariño 2024 ,South Africa,Albariño,Top-Estate Albariño,,9 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
A Christmas Carol Lodi Red Blend 2021 ,United States,Red blend,Holly Jolly Lodi Red,,6 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Beach Pass Paso Robles Rosé 2020 ,United States,Rosé blend,Acclaimed California Rosé,,11 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Vinha do Fava Reserva 2023 ,Portugal,Castelão-based blend,Top-Estate Portuguese Reserva,,34 Reviews,$24.99 per bottle,12 bottles - $299.88,$299.88,$227.88,Save $72.00
GFF Chardonnay 2023 ,United States,Chardonnay,Elegant California Chardonnay,,75 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Château Le Coin Sauvignon Gris 2024 ,France,Sauvignon Gris,Elegant White Bordeaux,,146 Reviews,$22.99 per bottle,12 bottles - $275.88,$275.88,$191.88,Save $84.00
Jean-Pierre Moueix Bordeaux 2020 ,France,Merlot,Big-Name 2020 Bordeaux,,135 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
L'Epiphanie de Sauternes Trio  ,,,Top-Secret Sauternes—Save $20 on Three,,,,3 bottles - $119.97,$119.97,$99.97,Save $20.00
Domaine de Longuet Merlot 2024 ,France,Merlot,Juicy Southern French Merlot,,,$19.99 per bottle,12 bottles - $239.88,,,
La Scelta Sangiovese Bianco 2023 ,Italy,Sangiovese,Rare White Sangiovese,,,$19.99 per bottle,12 bottles - $239.88,,,
Buil y Giné Priorat 2021 ,Spain,Garnacha-based blend,Top-Secret Priorat Tempranillo,,,$44.99 per bottle,12 bottles - $539.88,,,
M. Dutron Pouilly-Fuissé Vieilles Vignes 2023 ,France,Chardonnay,Fine White Burgundy,,,$49.99 per bottle,12 bottles - $599.88,,,
Hollywood Legends Cabernet Sauvignon 2021 ,United States,Cabernet Sauvignon,Bombshell California Cabernet,,3 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Champagne Nicolo & Paradis Brut NV ,France,Pinot Noir-based blend,Boutique Champagne Discovery,,,$49.99 per bottle,12 bottles - $599.88,,,
Schroeder Estate El Patrimonio 2021 ,Argentina,Cabernet-based blend,Ultra-Rare Patagonia Cabernet,,5 Reviews,$34.99 per bottle,12 bottles - $419.88,,,
Edouard Leiber Cuvée Prestige 2024 ,France,White blend,Family Estate’s Alsatian Cuvée,,3 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Berry and Spice Zinfandel 2020 ,United States,Zinfandel,Bold Paso Robles Zinfandel,,7 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Sartirano Figli Langhe Piemonte Nas-cetta 2023 ,Italy,Nas-cetta,Rare Piedmont White,,,$32.99 per bottle,12 bottles - $395.88,,,
